Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Cuba,2018,11328243,115739.0,596435,1823776,3228218,7806523,9502105,9088211,115507.0,480696.0,630011,597330,700793,1509379,1410749,1774351,1819600,1119834,771972,326856,68571,2362.0
Curacao,2018,184734,1865.0,10139,34388,63068,125048,150342,142279,1862.0,8274.0,11399,12850,13464,29007,21845,23120,26397,20600,11827,3696,386,4.0
Cyprus,2018,1218834,13275.0,67134,195526,339292,857902,1023211,985286,13568.0,53859.0,66311,62081,64876,184257,222572,173526,149998,115676,75299,31782,5225,97.0
Czechia,2018,10534598,111349.0,553010,1656679,2642929,6829807,8877288,8594853,111278.0,441661.0,573392,530277,468492,1183350,1498435,1677540,1312700,1369604,939359,366120,61688,631.0
Democratic Republic of Congo,2018,87087350,3528825.0,16214673,40363670,57077140,44087880,46723588,41131236,3362012.0,12685848.0,13324239,10824760,8994749,14022656,9263155,6148445,4212055,2519634,1250927,294190,17776,95.0
Denmark,2018,5766689,60650.0,298973,952210,1681858,3686804,4813349,4609217,61259.0,238323.0,315538,337699,345202,767222,671898,764630,795743,664204,544647,216005,43798,1130.0
Djibouti,2018,1057204,23421.0,114723,340464,548462,670840,716739,648759,23089.0,91302.0,111872,113869,110234,187580,152289,120439,75762,43392,21515,5191,337,1.0
Dominica,2018,70840,911.0,4495,14608,26929,49699,56229,52782,898.0,3584.0,4816,5297,5891,12679,10081,9264,8718,5294,2948,1215,139,3.0
Dominican Republic,2018,10765532,207448.0,1031003,3032033,4975762,7027162,7732581,7139974,206014.0,823555.0,1023759,977271,981539,1873766,1561774,1252371,996288,618005,297485,130095,21258,918.0
East Timor,2018,1261850,31781.0,157204,470234,744102,722621,791610,699575,31624.0,125423.0,153339,159691,149468,225821,145515,102834,72165,53434,33724,7698,951,6.0
Ecuador,2018,17015672,298046.0,1507080,4673858,7762488,11112459,12340782,11408610,297801.0,1209034.0,1603019,1563759,1555253,2993881,2546474,1968923,1486813,1009126,540659,206198,33455,1032.0
Egypt,2018,103740770,2517363.0,12938775,34687972,52687384,64340132,69052480,63425280,2525855.0,10421412.0,11714468,10034729,9255441,17417636,15642365,11175790,8043740,4795284,2074616,602975,44635,310.0
El Salvador,2018,6276340,103566.0,542813,1681396,3007957,4100736,4594480,4210252,105597.0,439247.0,565103,573480,659718,1217297,814817,690160,520845,361786,222710,91653,15494,464.0
Equatorial Guinea,2018,1502102,46514.0,221455,584527,831868,870575,917541,845800,45093.0,174941.0,202716,160356,119851,265706,226804,139763,91085,47952,19596,6004,780,34.0
Eritrea,2018,3445380,97329.0,483992,1432008,2152694,1877723,2013371,1769350,96428.0,386663.0,484267,463749,393045,568467,374826,280359,194581,117229,67184,16892,788,1.0
Estonia,2018,1322146,14096.0,70392,216355,342704,845591,1105659,1068701,14056.0,56296.0,75018,70945,60705,156409,190431,181367,172064,161735,109470,63030,10448,132.0
Eswatini,2018,1160430,29169.0,145508,421543,653908,695792,738878,665025,29046.0,116339.0,142611,133424,120679,222426,168430,94482,65298,43805,18628,4612,518,9.0
Ethiopia,2018,111129440,3504722.0,16523647,45653496,69182480,62067690,65475710,57706890,3393985.0,13018925.0,15048078,14081771,12609271,20106854,13132464,8628844,5736658,3259636,1594721,382358,24907,231.0
Europe (UN),2018,745359100,7427380.0,39266350,118979570,197680030,488725120,626277100,603637100,7756463.0,31838972.0,40786188,38927028,38016360,88990980,105345224,104236030,104565910,89469090,58103690,31632830,5917016,102448.0
Falkland Islands,2018,3674,42.0,222,669,1058,2619,3005,2888,41.0,180.0,226,221,190,446,559,677,588,263,183,90,9,0.0
Faroe Islands,2018,50978,711.0,3477,10545,17145,31448,40423,38234,699.0,2766.0,3413,3655,3534,6143,5811,6397,6667,5665,3964,1838,404,10.0
Fiji,2018,919002,18433.0,93794,272851,427824,598754,646146,598683,18661.0,75361.0,92314,86743,77909,153955,142888,104192,87690,52564,21464,5115,369,5.0
Finland,2018,5515465,49131.0,273118,886357,1506520,3437036,4628250,4452408,52243.0,223987.0,309547,303692,296108,678637,704446,659349,733602,731015,527263,248248,49582,858.0
France,2018,64277812,692952.0,3609795,11464214,18914756,39758624,52796504,50433260,702461.0,2916843.0,3919423,3934996,3901694,7199079,7969163,8417013,8352976,7758035,5198524,3166794,833226,17093.0
French Guiana,2018,276659,7125.0,33428,90924,140055,171439,185733,169184,6926.0,26303.0,28768,28728,26969,40269,36480,34000,24876,15111,6086,1750,192,2.0
French Polynesia,2018,297615,4101.0,21350,68021,112932,204461,229577,215265,4170.0,17249.0,23519,23152,23416,45176,46604,39859,36536,21954,11862,3692,478,17.0
Gabon,2018,2192013,61846.0,302475,802921,1194233,1303741,1389037,1266392,61244.0,240629.0,272649,227797,200550,382118,329325,216421,131510,76756,38121,12678,1558,55.0
Gambia,2018,2444916,82785.0,404375,1091675,1573182,1292542,1353234,1189905,81713.0,321590.0,369745,317555,263058,401159,279344,194131,121072,55649,29489,8581,751,7.0
Georgia,2018,3772323,54679.0,283152,771447,1212921,2462245,3000782,2875662,56484.0,228473.0,267109,221186,210586,511316,537003,479487,502281,404769,226710,116863,11767,94.0
Germany,2018,82896696,785206.0,3883514,11208995,19855500,53865630,71676950,69339260,797165.0,3098308.0,3651130,3674351,4050257,9835303,10550544,10553014,13444570,10187124,7770618,4499123,786402,10745.0
Ghana,2018,30870648,859051.0,4295278,11777392,17553360,18086174,19093222,17170438,854750.0,3436227.0,3961377,3520737,3102571,5203505,4440260,2825383,1863604,1075147,437507,136017,9227,34.0
Gibraltar,2018,32677,368.0,1959,5755,9592,20650,26909,25794,378.0,1591.0,1901,1895,1892,3926,4033,4316,4481,3869,2680,1372,340,13.0
Greece,2018,10633275,85191.0,457151,1525986,2636206,6808520,9105252,8774495,89709.0,371960.0,531931,536904,553585,1112958,1405417,1591985,1481963,1263952,996634,603516,95242,2037.0
Greenland,2018,55954,832.0,3999,11618,19522,39590,44336,42156,815.0,3167.0,3831,3788,3688,8859,7926,6481,9453,5187,2179,517,46,0.0
Grenada,2018,121853,2045.0001,10254,29361,48125,80994,92483,87252,2052.0,8209.0,10014,9093,9041,20941,19547,13006,13283,8867,4741,2647,410,9.0
Guadeloupe,2018,396273,4453.0,23803,76838,134551,247804,319150,301193,4577.0,19350.0,25098,27937,30054,47271,32671,52434,60583,46680,30097,15166,4194,285.0
Guam,2018,168696,2908.0,15339,45240,72291,106185,123425,115113,3050.0,12431.0,15819,14082,13887,24428,18624,20637,20745,14398,7307,2896,503,31.0
Guatemala,2018,16850176,399092.0,1997404,5822663,9418111,10243310,11026780,9886918,403050.0,1598312.0,1928543,1896716,1874230,3229698,2316923,1485860,967752,649924,335211,140988,26194,734.0
Guernsey,2018,61908,554.0,2946,9489,16614,40714,52388,50436,578.0,2392.0,3331,3212,3355,7914,7900,8583,9244,7132,5091,2580,589,31.0
Guinea,2018,12554871,426378.0,2018973,5354070,7976112,6772408,7200787,6353080,413555.0,1592595.0,1777630,1557467,1386730,2259219,1381166,882916,638546,388104,201798,58121,4187,14.0
Guinea-Bissau,2018,1924954,60012.0,293113,804645,1187473,1067842,1120301,992432,58864.0,233101.0,270252,241280,206503,327260,253221,159369,88531,56523,22283,6061,550,8.0
Guyana,2018,785518,15812.0,78138,228580,382673,512112,556901,511496,15697.0,62326.0,76163,74279,76793,143383,99353,92396,74379,43922,19105,6361,1209,37.0
Haiti,2018,11012427,260040.02,1266643,3659221,5850669,6880320,7353203,6667865,255909.0,1006603.0,1220034,1172544,1132146,2048529,1600999,1070888,755954,467821,219642,54309,2915,3.0
High-income countries,2018,1235045600,12798729.0,66215680,204758100,350564100,809508000,1029963500,988209200,13121870.0,53416950.0,69176800,69365610,70540090,157131120,169505300,172271900,166230610,139477470,94656940,49392650,10757449,324029.0
Honduras,2018,9792854,211036.0,1042112,3153457,5210155,6259345,6639367,5992785,209328.0,831076.0,1042867,1068478,1070207,1865413,1473370,1011329,617014,387744,162946,47227,4117,30.0
Hong Kong,2018,7481563,69091.0,327323,901423,1625094,5284643,6575791,6406732,74578.0,258232.0,305402,268698,297926,923184,1142922,1133541,1240504,978041,486589,299029,74055,4349.0
Hungary,2018,9776361,93447.0,467004,1421888,2480341,6482929,8353931,8062476,94674.0,373557.0,463846,491038,488197,1197701,1308586,1567267,1212782,1318342,830536,372486,58034,542.0
Iceland,2018,352951,4161.0,21252,67626,115368,235445,285281,272348,4122.0,17091.0,23733,22641,21933,54549,50438,45026,43887,35907,21159,10261,2121,44.0
India,2018,1369003300,23581330.0,119121976,370831170,623163840,912553700,998142100,920259500,23693076.0,95540640.0,124645760,127063430,128689820,241113040,208106510,163903120,123921464,82088490,36722890,12172201,1424518,30085.0
Indonesia,2018,267066850,4524618.0,23163588,69982900,113685544,179835740,197082540,183878540,4570807.0,18638968.0,23955598,22863708,21977652,42581720,41519708,36523280,27811396,15975175,8078092,2440940,174588,1399.0
Iran,2018,85617560,1507424.0,7721189,20639088,32311156,59397336,64978060,61651000,1558270.0,6213765.0,6905338,6012561,5551088,14288106,17001478,11312820,8128256,5476062,2374901,775444,69906,412.0
Iraq,2018,40590700,1126726.0,5741951,15933330,23996400,23326514,24657302,22061048,1127985.0,4615225.0,5490843,4700536,4254088,7096042,5111665,3858416,2308464,1265259,597082,155619,10666,70.0
Ireland,2018,4834506,61588.0,316662,1002983,1604471,3157480,3831056,3640989,62713.0,255074.0,353691,332630,313919,574856,728063,713714,580855,456830,305748,131628,25443,467.0
Isle of Man,2018,83792,744.0,3899,13090,22113,52857,70650,67982,757.0,3155.0,4662,4529,4525,8954,9576,11531,12908,10509,8112,3671,864,52.0
Israel,2018,8456487,175379.0,879366,2390778,3654396,5092167,6064168,5661975,179226.0,703987.0,796862,714550,660005,1186145,1133291,1002171,764477,669356,396816,202624,49283,1541.0
Italy,2018,59877430,443033.0,2376559,7937415,13775679,38310668,51926028,50218972,463091.0,1933526.0,2721881,2838975,2876573,6157847,7039848,9240235,9211417,7286462,5889915,3484514,739216,13989.0
Jamaica,2018,2811842,34584.0,184738,615717,1127017,2008631,2196099,2057702,36027.0,150154.0,204439,226540,238584,535689,464539,360405,304886,174075,88857,26246,2818,26.0
Japan,2018,126255870,882453.0,4779666,15454490,27414124,74311340,110686696,107201304,924831.0,3897213.0,5232290,5442534,5879174,12237370,14369973,18535854,15794871,16852346,15360417,9172952,2483739,114683.0
Jersey,2018,105387,1056.0,5190,15842,28208,72837,89514,86289,1036.0,4134.0,5356,5296,5610,14364,15665,15564,15712,10984,7268,3593,754,31.0
Jordan,2018,10459864,237108.0,1195345,3548850,5552194,6558044,6910984,6303206,235482.0,958237.0,1228339,1125166,998472,1923448,1515587,1157186,747500,358116,159576,47568,3531,30.0
Kazakhstan,2018,18538100,392712.0,1964485,5283760,7689547,11865890,13254207,12550210,392365.0,1571773.0,1830515,1488760,1161076,2760309,2855950,2262559,2023752,1396956,566239,209413,17953,134.0
Kenya,2018,49953300,1393613.0,6824317,20019706,30123854,28585928,29929664,26519128,1382784.0,5430704.0,6782207,6413182,5485054,8781110,6709657,4300461,2561890,1252722,578731,216969,43070,3930.0
Kiribati,2018,122276,3349.0,16386,43960,67087,73950,78316,71634,3292.0,13037.0,15352,12222,11440,22241,17112,11238,9364,4550,1977,362,32,0.0
Kosovo,2018,1709966,20800.0,114420,407256,719871,1148517,1302606,1199439,21236.0,93620.0,142693,150143,166905,282716,239469,218377,174764,117852,70229,27383,4911,104.0
Kuwait,2018,4317190,56984.0,304667,912786,1369319,3268653,3404393,3261286,59022.0,247683.0,328486,279633,234883,448484,961905,983176,511296,199677,50676,13327,969,11.0
Kyrgyzstan,2018,6223503,164781.0,811095,2099331,3169193,3872201,4124155,3822084,162200.0,646314.0,725749,562487,507588,1156984,891902,616436,521161,293960,88343,43736,4045,17.0
Land-locked developing countries (LLDC),2018,512657920,15773546.0,75667090,205167700,305817900,289603420,307486820,274483650,15374213.0,59893540.0,68466904,61033704,53560770,88518190,64160028,43019536,29957540,17908842,7857878,2308727,195321,3410.0
Laos,2018,7105008,160108.0,785249,2276319,3704602,4533535,4828347,4391945,159043.0,625141.0,752323,738747,730664,1350233,1049350,718103,512398,292409,128299,41040,5851,342.0
Latin America and the Caribbean (UN),2018,641303740,10170271.0,51630610,157390320,265674270,430290270,483874560,451484500,10230308.0,41460340.0,52635650,53124068,54187450,106787910,97646380,81393560,65447100,44168500,23700592,9159120,1383955,38834.0
Latvia,2018,1935632,19258.0,104232,300487,479694,1233508,1634872,1580987,20765.0,84974.0,96953,99302,90515,215692,263834,261874,272257,240928,177352,96598,15822,273.0
Least developed countries,2018,1023493760,31459572.0,149637580,406923360,610349600,580784000,616566460,549443200,30549342.0,118178020.0,134776320,122509440,108877710,176172100,128466664,87878030,58725924,35602452,16244247,4269809,329561,3939.0
Lebanon,2018,5950842,96262.0,530971,1605864,2576934,3835216,4344857,4039993,102274.0,434709.0,554786,520107,503718,903472,829793,726674,631631,426842,218909,92143,11675,121.0
Lesotho,2018,2198030,57105.0,274546,760543,1204008,1345995,1437453,1300487,55512.0,217441.0,251334,234663,225548,425243,321287,186471,136734,87125,38862,14339,1844,34.0
Less developed regions,2018,6413056500,124754720.0,620770800,1792573300,2857471200,4167349800,4620314000,4291991000,124981020.0,496016100.0,603510600,568291900,541819900,1048305500,940427100,785330400,615553300,415236200,194948210,70211890,8481867,168675.0
"Less developed regions, excluding China",2018,4964128300,107626020.0,530463330,1527874600,2422452500,3150421000,3436123000,3156345000,106491570.0,422837300.0,512533900,484877400,460328350,844124740,720492200,556720830,416281340,265165940,125761950,42216880,5030484,130767.0
"Less developed regions, excluding least developed countries",2018,5389562400,93295144.0,471133250,1385649900,2247121700,3586565600,4003747800,3742547700,94431680.0,377838080.0,468734270,445782460,432942240,872133400,811960400,697452400,556827300,379633730,178703970,65942080,8152305,164737.0
Liberia,2018,4889396,152119.0,733438,2058880,3004257,2664005,2830515,2503252,147695.0,581319.0,696752,628690,525371,768137,600636,428136,255011,151979,81737,18655,853,1.0
Libya,2018,6477791,124728.0,641128,1970647,3081841,4197568,4507102,4146178,126671.0,516400.03,673190,656329,588255,997552,1007349,926961,539188,251918,142552,48651,4676,42.0
Liechtenstein,2018,38205,375.0,1831,5640,9876,25836,32563,31394,372.0,1456.0,1907,1902,2001,4542,4857,5707,6208,4703,3152,1169,224,2.0
Lithuania,2018,2876128,28857.0,150880,428085,735079,1874438,2447503,2367506,30055.0,122023.0,146536,130669,141716,360842,362149,388831,434284,343728,247022,143550,25381,540.0
Low-income countries,2018,661256600,22415980.0,106009180,283790900,416195840,356983330,377463040,333099230,21676046.0,83593210.0,94594184,83187540,71631500,111488050,76778344,51600270,33937140,19874766,9556344,2419688,176931,2636.0
Lower-middle-income countries,2018,3269580500,68503464.0,339677630,991774000,1584667100,2093600900,2277756000,2091967900,68017100.0,271174140.0,333070980,319025400,305390180,560453900,482133440,369702270,274460100,176187470,80451220,26189668,2787652,50641.0
Luxembourg,2018,607920,6247.0,32435,97875,168926,422796,509969,490502,6377.0,26188.0,33074,32366,33140,83319,94709,91933,86807,59333,36834,20127,3767,76.0
Macao,2018,650996,7851.0,36422,88489,168700,494276,562382,545029,7648.0,28571.0,28932,23135,32627,109754,118335,93973,99222,68059,25102,12512,2798,125.0
Madagascar,2018,26846544,827969.0,3938780,10834334,16314997,15181095,16012163,14239133,807653.0,3110811.0,3626354,3269200,2900002,4706931,3198574,2360986,1493023,902255,341802,101047,7543,48.0
Malawi,2018,18367886,601641.0,2918729,8229030,11967212,9596190,10137836,8847458,587758.0,2317088.0,2779729,2530572,2064325,3076227,2297196,1260873,683500,384219,257068,97482,16946,1020.0
Malaysia,2018,32399270,517630.0,2622175,7766141,13432160,22521050,24631740,22985730,522297.97,2104545.0,2511536,2632430,2769106,5921110,5524899,3996617,3140880,2028597,936990,276504,37037,1389.0
Maldives,2018,489773,7601.0,38636,108004,186871,361131,381739,363557,7699.0,31035.0,37878,31490,32346,109216,110564,59882,37877,17791,9447,4088,528,30.0
Mali,2018,19934304,806686.0,3730249,9555272,13360388,9867657,10379031,9040187,770545.0,2923563.0,3168272,2656751,2129272,3077058,2229183,1383947,773598,492471,245365,46766,1371,0.0
Malta,2018,491590,4551.0,23177,65920,121325,333275,425562,413071,4643.0,18626.0,22064,20679,22337,77076,80451,64304,59358,58179,42229,18524,3104,108.0
Marshall Islands,2018,46012,1007.0,5361,16394,23698,28103,29618,27202,1038.0,4354.0,6002,5031,4045,6509,7204,5350,3677,2177,525,118,13,0.0
Martinique,2018,374843,3695.0,19493,64256,111782,235507,310444,295330,3794.0,15798.0,20873,23890,25064,39658,33197,49452,62066,48545,31448,17204,3810,143.0
Mauritania,2018,4270717,139009.0,658370,1838012,2669032,2288831,2432671,2152737,134453.0,519361.0,634639,545003,450145,701257,492432,339273,227474,134803,64290,20315,2682,34.0
Mauritius,2018,1295386,13431.0,67109,233070,427456,922301,1062218,1004290,13419.0,53678.0,75697,90264,96382,198045,190833,180595,183065,131021,57150,21399,3728,98.0
Mayotte,2018,282968,10531.0,48830,126203,172896,148936,156763,139149,10241.0,38299.0,40788,36585,26889,41009,34908,26255,15248,8009,3185,1106,154,2.0
Mexico,2018,124013864,2028545.0,10533454,32485134,53960000,82019096,91517720,84924024,2075596.0,8504909.0,10970255,10981425,10918313,20621744,18277076,15898395,11937533,7685841,4059065,1748487,371268,11008.0
Micronesia (country),2018,110945,2308.0,11489,35451,58847,70042,75494,68382,2297.0,9181.0,11895,12067,12039,20656,13108,10803,9536,6568,2184,554,46,0.0
Moldova,2018,3141839,42808.0,226124,604503,978992,2141043,2537230,2437070,44877.0,183316.0,199556,178823,168926,458878,501920,391266,414351,383370,147631,63076,7812,106.0
Monaco,2018,37050,334.0,1666,4558,7717,19386,32092,31165,337.0,1332.0,1502,1390,1589,3060,3188,3641,5260,5031,4625,3741,1957,400.0
Mongolia,2018,3163994,77475.0,391410,984223,1451331,2052769,2179739,2045042,77528.0,313935.0,346822,245991,228150,528763,516187,400198,294322,134563,56336,19145,2075,32.0
Montenegro,2018,631459,7574.0,38292,115276,197848,420369,516100,491749,7695.0,30718.0,39079,37905,40424,83948,90473,82857,82529,73852,40099,19676,2242,83.0
Montserrat,2018,4381,42.0,143,621,1284,3064,3759,3570,35.0,101.0,199,279,333,540,480,686,734,583,307,83,13,1.0
More developed regions,2018,1270733400,12935309.0,67889620,208863250,351699940,825570700,1061563000,1020124800,13395819.0,54954310.0,70814104,70159530,69578400,155975820,173616830,173354050,173294540,151302780,100355890,52987650,11097038,307246.0
Morocco,2018,35927516,670100.0,3397328,9872743,15804136,23685422,26054662,24254894,671432.0,2727228.0,3366865,3108550,2987111,5890032,5477324,4448123,3514035,2382528,1038621,294763,22126,109.0
Mozambique,2018,29423882,1052761.0,4930572,13022084,18960114,15643165,16401760,14405948,1009545.0,3877811.0,4383343,3708169,3227215,4971505,3324044,2280684,1362743,818510,339962,72609,4488,37.0
Myanmar,2018,52666016,913837.0,4506997,13518635,22648248,35951010,39147332,36345772,909284.0,3593160.0,4449349,4562289,4616666,8897071,8290980,6931175,5288615,3323734,1381423,392564,25104,50.0
Namibia,2018,2405682,67981.0,329115,871777,1347728,1439968,1533838,1390986,66885.0,261134.0,292999,249663,239734,463737,311000,226040,149474,88101,41208,12619,1925,67.0
Nauru,2018,11949,351.0,1763,4656,6804,7060,7293,6646,352.0,1412.0,1626,1267,1070,2107,1825,1069,757,360,84,21,0,0.0
Nepal,2018,28506718,587615.0,2939901,8956300,15086904,17879136,19550360,17600296,587775.0,2352286.0,2910066,3106333,3221738,5256927,3639594,2796236,2116976,1536781,781130,189125,11852,59.0
Netherlands,2018,17286042,170181.0,869743,2755741,4891642,11251897,14528141,13903448,172964.0,699562.0,925326,960672,1058223,2201199,2109374,2291743,2503046,2084741,1492375,663775,123665,2160.0
New Caledonia,2018,284887,4256.0,21856,66147,108356,191040,218670,205110,4293.0,17600.0,22457,21834,22432,40816,42258,40809,32957,21142,12691,4769,796,70.0
New Zealand,2018,4838528,59577.0,305170,947007,1593650,3163927,3890220,3704579,60235.0,245593.0,329300,312537,311995,696816,636153,628590,624542,498817,321626,141913,29768,1301.0
Nicaragua,2018,6572234,140918.0,701008,2040425,3347380,4215420,4531789,4138431,140613.0,560090.0,681846,657571,655735,1255576,972896,710745,459310,285413,140354,48776,2984,20.0
Niger,2018,22577060,986001.0,4463897,11068328,15379829,10961992,11508727,10002978,935203.0,3477896.0,3624752,2979679,2403367,3404906,2267985,1506702,1028032,593454,256838,46059,1384,6.0
Nigeria,2018,198387620,7109073.0,33216786,87078850,125038696,105337710,111308616,98324170,6800463.0,26107712.0,29018720,24843340,20781038,31578826,23398448,15949710,10123829,6038188,2800427,606690,31458,161.0
Niue,2018,1907,25.0,147,515,722,1131,1392,1314,28.0,122.0,188,180,123,177,228,259,224,210,121,50,0,0.0
North Korea,2018,25638152,340736.0,1675218,4930738,8729742,17957178,20706988,19628606,338498.0,1334482.0,1575755,1679765,1827575,3927869,3510419,3918499,3520690,2058972,1456961,450482,35521,425.0
North Macedonia,2018,2113497,21816.0,114243,347099,629901,1474330,1766369,1685826,22523.0,92427.0,117424,115432,134520,304864,326833,293991,284039,239427,130971,47594,4130,29.0
Northern America (UN),2018,369300740,4261834.0,21965836,68791040,117090696,242996200,300425180,286165440,4343636.0,17704002.0,22862628,23962576,23879778,50433120,49680696,46690988,49250830,41914588,24854388,11242194,2478595,84513.0
Northern Mariana Islands,2018,50328,638.0,3404,11569,18675,35172,38759,37006,651.0,2766.0,4475,3690,3083,7331,3942,8127,9460,5094,1381,312,29,0.0
Norway,2018,5312321,56184.0,297242,937032,1600127,3467556,4374289,4185458,58813.0,241058.0,321885,317905,321265,713224,712905,731965,686232,574588,410769,179560,43781,1000.0
Oceania (UN),2018,42539676,681756.0,3441459,10051876,16351913,27383554,32482020,30658520,685563.0,2759703.0,3414516,3195901,3065615,6545693,6005603,5226864,4622085,3557741,2243240,991986,223194,5778.0
