Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Sint Maarten (Dutch part),2018,42268,245.0,973,6062,16069,32981,36203,33239,210.0,728.0,1844,3245,5192,5698,693,8557,9981,4572,1362,137,11,3.0
Slovakia,2018,5446746,58621.0,289868,854004,1431295,3732797,4592602,4437022,59306.0,231247.0,293130,271006,267349,694494,868766,822810,713228,681111,366759,154710,23375,140.0
Slovenia,2018,2105931,20594.0,105628,318682,521903,1382398,1787049,1730375,20895.0,85034.0,113255,99799,96255,229231,301394,305058,304263,275165,167800,91587,16296,200.0
Small island developing states (SIDS),2018,71869590,1269368.0,6313214,18552682,30543740,47448828,53309500,49700410,1263466.0,5043846.0,6229081,6010387,6024921,11827257,10301173,8883654,7628307,4916191,2565349,986812,175837,7405.0
Solomon Islands,2018,659259,20197.0,98674,263600,389951,372851,395657,353996,19980.0,78477.0,88126,76800,67717,108703,83389,62510,38839,20688,10547,2936,328,2.0
Somalia,2018,15411101,646620.0,2947105,7328397,10383434,7685107,8082684,7042538,612213.0,2300485.0,2388867,1992425,1673506,2392691,1634290,1044219,693246,429573,171411,41118,2630,20.0
South Africa,2018,57339630,1165418.0,5722926,16445882,26064464,37537016,40890880,38220160,1125268.0,4557508.0,5633196,5089760,4507269,10798927,9725731,6061856,4937873,2794709,1482068,487546,94900,2870.0
South Korea,2018,51676900,350865.0,2021212,6593786,12947586,37614104,45075228,43472750,382849.0,1670347.0,2296686,2275888,2859471,6960348,7452708,8466914,8473037,5762961,3381346,1500136,218308,7886.0
South Sudan,2018,10395332,313877.0,1741069,4870162,6694537,5246455,5525160,4786454,336419.0,1427192.0,1709348,1419745,1129660,1282076,1120928,962611,571512,301050,132110,24859,354,10.0
Spain,2018,46792044,382286.0,2086916,6954391,11527165,30810428,39826364,38436556,407152.0,1704630.0,2390458,2477017,2297933,4793574,6334719,7768231,6855280,5166889,3741823,2357782,510132,11290.0
Sri Lanka,2018,21580712,320170.0,1656067,5230426,8510333,14176085,16349606,15311560,324586.0,1335897.0,1766010,1808349,1694188,3095215,3108958,2760502,2484923,1907072,964545,299725,34478,679.0
Sudan,2018,41999064,1413978.0,6653608,17357428,25613060,23331284,24641504,21954204,1370401.0,5239630.0,5797788,4906032,4382248,7307135,5450433,3146861,2161307,1513355,544132,123039,12993,131.0
Suriname,2018,593729,10859.0,53946,163028,266302,390605,430666,397811,10804.0,43087.0,53957,55125,54387,93601,85886,73496,62446,35571,17655,6635,989,35.0
Sweden,2018,10162300,116293.0,599420,1799697,2959262,6342173,8360561,8032018,119354.0,483127.0,614396,585881,548235,1346507,1309630,1296784,1276679,1118903,948309,419711,95803,2042.0
Switzerland,2018,8514431,85921.0,435954,1276717,2191459,5674234,7236223,6986988,87758.0,350033.0,428491,412272,428630,1057172,1207431,1210108,1273420,926226,696091,360380,76765,1491.0
Syria,2018,19333464,346680.0,1887973,7388855,11216439,11082875,11944538,10485839,347371.0,1541293.0,2745175,2755707,2296219,2562808,2305785,2064079,1381444,822441,379911,120559,11292,71.0
Taiwan,2018,23726186,197875.0,1052545,3101936,6061227,17367372,20618524,19862080,206982.0,854670.0,1007081,1042310,1341217,3267529,3880647,3695754,3592040,2763871,1358873,598984,119608,5727.0
Tajikistan,2018,9128131,253482.0,1265004,3336756,5057613,5508501,5791354,5259609,252681.0,1011522.0,1136138,935614,875261,1672624,1272755,831062,654505,326567,108374,46009,4197,21.0
Tanzania,2018,58090444,2093252.9,9836101,25788682,37001356,30500298,32301242,28407024,2026312.0,7742848.0,8441650,7510931,6225133,9206481,6998086,4482685,2631004,1696012,831853,206693,23295,520.0
Thailand,2018,71127810,692644.0,3659288,11792333,21276720,50371384,59311676,56734652,710625.0,2966644.0,4044670,4088375,4408977,10147854,10375272,10481721,10648923,7543218,3748270,1645696,311744,23800.0
Togo,2018,8046680,255173.0,1219320,3292584,4839132,4513947,4754096,4237668,248881.0,964147.0,1109043,964221,834187,1338546,1016781,717693,454406,263488,109207,19212,576,0.0
Tokelau,2018,1645,32.0,150,501,762,976,1144,1057,30.0,118.0,171,180,141,222,202,174,187,107,74,35,2,0.0
Tonga,2018,105167,2498.0,12839,37717,57493,61036,67449,60549,2534.0,10341.0,12742,12136,11058,15968,12674,10584,7979,4923,2999,1140,124,1.0
